Movie Name,Year of Release,Run Time in minutes,Movie Rating,Votes,Genre,Director,Stars,Description,data_extracao
The Godfather,1972,175,9.2,1954174,"['Crime', ' Drama']",['Francis Ford Coppola'],"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']","['Don', 'Vito', 'Corleone,', 'head', 'of', 'a', 'mafia', 'family,', 'decides', 'to', 'hand', 'over', 'his', 'empire', 'to', 'his', 'youngest', 'son', 'Michael.', 'However,', 'his', 'decision', 'unintentionally', 'puts', 'the', 'lives', 'of', 'his', 'loved', 'ones', 'in', 'grave', 'danger.']",2026-03-17
The Chaos Class,1975,87,9.2,42231,"['Comedy', ' Drama']",['Ertem Egilmez'],"['Kemal Sunal', 'Münir Özkul', 'Halit Akçatepe', 'Tarik Akan']","['Lazy,', 'uneducated', 'students', 'share', 'a', 'very', 'close', 'bond.', 'They', 'live', 'together', 'in', 'the', 'dormitory,', 'where', 'they', 'plan', 'their', 'latest', 'pranks.', 'When', 'a', 'new', 'headmaster', 'arrives,', 'the', 'students', 'naturally', 'try', 'to', 'overthrow', 'him.', 'A', 'comic', 'war', 'of', 'nitwits', 'follows.']",2026-03-17
The Godfather Part II,1974,202,9.0,1327069,"['Crime', ' Drama']",['Francis Ford Coppola'],"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']","['The', 'early', 'life', 'and', 'career', 'of', 'Vito', 'Corleone', 'in', '1920s', 'New', 'York', 'City', 'is', 'portrayed,', 'while', 'his', 'son,', 'Michael,', 'expands', 'and', 'tightens', 'his', 'grip', 'on', 'the', 'family', 'crime', 'syndicate.']",2026-03-17
The Message,1976,207,8.9,10134,"['Action', ' Adventure', ' Biography']",['Moustapha Akkad'],"['Abdallah Gheith', 'Mona Wassef', 'Hamdy Gheith', 'Ali Achmed Taram']","['The', 'story', 'of', 'prophet', '""Muhammad""', 'and', 'the', 'delivery', 'of', 'the', 'message', 'of', 'God', '""Allah.""']",2026-03-17
Tosun Pasa,1976,90,8.9,24170,['Comedy'],['Kartal Tibet'],"['Kemal Sunal', 'Müjde Ar', 'Adile Nasit', 'Sener Sen']","['Two', 'traditionally', 'rival', 'Turkish', 'families,', '""Seferoglu""s', 'and', '""Tellioglu""s', 'are', 'competing', 'for', 'the', '""Green', 'Valley"".', 'The', 'winner', 'will', 'be', 'determined', 'by', 'Daver', 'Bey,', 'who', 'has', 'a', 'beautiful', 'young', 'daughter,...', 'See', 'full', 'summary', '»']",2026-03-17
The Chaos Class Failed the Class,1975,91,8.9,24221,['Comedy'],['Ertem Egilmez'],"['Kemal Sunal', 'Münir Özkul', 'Semra Özdamar', 'Adile Nasit']","['A', 'young', 'and', 'beautiful', 'female', 'teacher', 'starts', 'working', 'in', 'an', 'all', 'boys', 'high', 'school.']",2026-03-17
Süt Kardesler,1976,80,8.8,20759,"['Comedy', ' Family', ' Mystery']",['Ertem Egilmez'],"['Kemal Sunal', 'Sener Sen', 'Halit Akçatepe', 'Hale Soygazi']","['Saban,', 'Ramazan', 'and', 'Bayram', 'are', 'sailors', 'in', 'an', 'Ottoman', 'Navy', 'and', 'Hüsamettin', 'is', 'their', 'commander.', ""Hüsamettin's"", 'aide', 'Ramazan,', 'Saban', 'who', 'is', 'foster', 'son', 'of', ""Hüsamettin's"", 'sister', 'and', 'Bayram', 'who', 'is', '...', 'See', 'full', 'summary', '»']",2026-03-17
One Flew Over the Cuckoo's Nest,1975,133,8.7,1045202,['Drama'],['Milos Forman'],"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']","['In', 'the', 'Fall', 'of', '1963,', 'a', 'Korean', 'War', 'veteran', 'and', 'criminal', 'pleads', 'insanity', 'and', 'is', 'admitted', 'to', 'a', 'mental', 'institution,', 'where', 'he', 'rallies', 'up', 'the', 'scared', 'patients', 'against', 'the', 'tyrannical', 'nurse.']",2026-03-17
"Saban, Son of Saban",1977,90,8.7,18413,"['Comedy', ' Crime', ' Mystery']",['Ertem Egilmez'],"['Kemal Sunal', 'Halit Akçatepe', 'Sener Sen', 'Adile Nasit']","['Husamettin', 'the', 'commander', 'in', 'the', 'army', 'is', 'constantly', 'bothered', 'by', 'the', 'stupidity', 'of', 'one', 'of', 'his', 'soldiers', 'Saban.', 'After', 'discharge', 'from', 'the', 'army,', 'Saban', 'and', 'his', 'friend', 'Ramazan', 'work', 'in', 'a', 'night', 'club', '...', 'See', 'full', 'summary', '»']",2026-03-17
Kibar Feyzo,1978,83,8.7,17006,"['Comedy', ' Drama']",['Atif Yilmaz'],"['Kemal Sunal', 'Müjde Ar', 'Adile Nasit', 'Sener Sen']","['A', 'poor', 'peasant,', 'Feyzo', 'returns', 'from', 'military', 'service', 'dreaming', 'about', 'getting', 'married', 'to', 'Gülo,', 'the', 'love', 'of', 'his', 'life.', 'However,', 'he', 'has', 'to', 'face', 'many', 'obstacles.', 'According', 'to', 'tradition,', 'a', 'man', 'has', '...', 'See', 'full', 'summary', '»']",2026-03-17
Neseli Günler,1978,95,8.7,11709,"['Comedy', ' Drama', ' Family']",['Orhan Aksoy'],"['Münir Özkul', 'Adile Nasit', 'Sener Sen', 'Aysen Gruda']","['A', 'mid-aged', 'couple', 'with', '6', 'kids', 'who', 'are', 'running', 'a', 'pickle', 'shop', 'gets', 'divorced', 'with', '3', 'kids', 'each.', 'The', 'family', 'members', 'find', 'each', 'other', 'years', 'later', 'with', 'a', 'funny', 'story.']",2026-03-17
The Chaos Class Is Waking Up,1977,94,8.7,20510,"['Adventure', ' Comedy']",['Ertem Egilmez'],"['Kemal Sunal', 'Münir Özkul', 'Halit Akçatepe', 'Adile Nasit']","['A', 'kind', 'and', 'hardworking', 'student', 'joins', 'to', 'Hababam', 'Sinifi', '(The', 'Chaos', 'Class)', 'but', 'they', ""don't"", 'accept', 'him', 'as', 'one', 'of', 'them', 'and', 'he', 'becomes', 'the', 'target', 'of', 'all', ""class'"", 'pranks.']",2026-03-17
Star Wars: Episode IV - A New Hope,1977,121,8.6,1415712,"['Action', ' Adventure', ' Fantasy']",['George Lucas'],"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']","['Luke', 'Skywalker', 'joins', 'forces', 'with', 'a', 'Jedi', 'Knight,', 'a', 'cocky', 'pilot,', 'a', 'Wookiee', 'and', 'two', 'droids', 'to', 'save', 'the', 'galaxy', 'from', 'the', ""Empire's"", 'world-destroying', 'battle', 'station,', 'while', 'also', 'attempting', 'to', 'rescue', 'Princess', 'Leia', 'from', 'the', 'mysterious', 'Darth', 'Vader.']",2026-03-17
The Chaos Class Is on Vacation,1977,97,8.6,18521,"['Adventure', ' Comedy', ' Drama']",['Ertem Egilmez'],"['Kemal Sunal', 'Münir Özkul', 'Adile Nasit', 'Sener Sen']","['Hababam', 'Sinifi', '(The', 'Chaos', 'Class)', 'continue', 'to', 'their', 'adventures.', 'Now', 'first', 'female', 'students', 'of', 'the', 'school', 'history', 'joins', 'to', 'the', 'class', 'and', 'all', 'Hababam', 'Sinifi', 'fight', 'each', 'other', 'for', 'them', 'at', 'first', '...', 'See', 'full', 'summary', '»']",2026-03-17
Alien,1979,117,8.5,920996,"['Horror', ' Sci-Fi']",['Ridley Scott'],"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']","['The', 'crew', 'of', 'a', 'commercial', 'spacecraft', 'encounters', 'a', 'deadly', 'lifeform', 'after', 'investigating', 'an', 'unknown', 'transmission.']",2026-03-17
Selvi Boylum Al Yazmalim,1977,90,8.5,16599,"['Drama', ' Romance']",['Atif Yilmaz'],"['Türkan Soray', 'Kadir Inanir', 'Ahmet Mekin', 'Hülya Tuglu']","['Story', 'of', 'a', 'dilemma', 'between', 'a', ""woman's"", 'love', 'and', 'her', 'logic.', 'Asya,', 'a', 'young', 'girl', 'with', 'a', 'strict', 'mother,', 'meets', 'Ilyas', 'who', 'is', 'a', 'womanizer', 'city', 'man,', 'and', 'they', 'quickly', 'fall', 'in', 'love.', 'They', 'get', 'over', 'the', '...', 'See', 'full', 'summary', '»']",2026-03-17
Gol Maal,1979,120,8.5,19712,"['Comedy', ' Romance']",['Hrishikesh Mukherjee'],"['Amol Palekar', 'Bindiya Goswami', 'Deven Verma', 'Shobha Khote']","['A', ""man's"", 'simple', 'lie', 'to', 'secure', 'his', 'job', 'escalates', 'into', 'more', 'complex', 'lies', 'when', 'his', 'orthodox', 'boss', 'gets', 'suspicious.']",2026-03-17
