Movie Name,Year of Release,Run Time in minutes,Movie Rating,Votes,Genre,Director,Stars,Description,data_extracao
Çöpçüler Krali,1977,80,8.5,21014,"['Comedy', ' Romance']",['Zeki Ökten'],"['Kemal Sunal', 'Sener Sen', 'Aysen Gruda', 'Ihsan Yüce']","['Going', 'through', 'his', 'daily', 'routine', 'in', 'a', 'stereotypical', 'neighborhood,', 'a', 'street', 'cleaner', 'falls', 'in', 'love', 'with', 'a', 'charwoman.', 'Unfortunately', 'for', 'him,', 'so', 'does', 'his', 'boss.']",2026-03-17
Apocalypse Now,1979,147,8.4,692940,"['Drama', ' Mystery', ' War']",['Francis Ford Coppola'],"['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']","['A', 'U.S.', 'Army', 'officer', 'serving', 'in', 'Vietnam', 'is', 'tasked', 'with', 'assassinating', 'a', 'renegade', 'Special', 'Forces', 'Colonel', 'who', 'sees', 'himself', 'as', 'a', 'god.']",2026-03-17
The Pinchcliffe Grand Prix,1975,88,8.4,14005,"['Animation', ' Comedy', ' Family']",['Ivo Caprino'],"['Wenche Foss', 'Per Theodor Haugen', 'Harald Heide-Steen Jr.', 'Leif Juster']","['Reodor', 'Felgen', 'decides', 'that', 'he', 'will', 'enter', 'a', 'car', 'race', 'to', 'defeat', 'his', 'former', 'friend', 'who', 'has', 'stolen', 'his', 'plans', 'for', 'a', 'car.']",2026-03-17
Gentlemen of Fortune,1971,88,8.4,12409,"['Comedy', ' Crime', ' Drama']",['Aleksandr Seryy'],"['Evgeniy Leonov', 'Georgiy Vitsin', 'Saveliy Kramarov', 'Radner Muratov']","['It', 'so', 'happens', 'that', 'peaceful', 'kindergarten', 'teacher', 'is', 'incredibly', 'similar', 'to', 'the', 'terrible', 'villain', 'who', 'stole', 'the', 'helmet', 'of', 'Alexander', 'the', 'Great.', 'And', ""villain's"", 'accomplices', 'are', 'unexpectedly', 'similar', 'to', 'children', '-', 'they', 'also', 'need', 'love', 'and', 'care.']",2026-03-17
King of the Doormen,1976,84,8.4,13223,"['Comedy', ' Drama']",['Zeki Ökten'],"['Kemal Sunal', 'Sevda Ferdag', 'Bilge Zobu', 'Sevket Altug']","['A', 'janitor/doorman', 'and', 'his', 'family', 'who', 'came', 'to', '""big', 'city""', 'Istanbul,', 'with', 'the', 'hope', 'to', 'live', 'a', 'better', 'life.', 'With', 'the', 'different', 'characters', 'living', 'in', 'the', 'building,', 'the', 'story', 'evolves', 'around', 'the', '...', 'See', 'full', 'summary', '»']",2026-03-17
A Clockwork Orange,1971,136,8.3,861107,"['Crime', ' Sci-Fi']",['Stanley Kubrick'],"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates', 'Warren Clarke']","['In', 'the', 'future,', 'a', 'sadistic', 'gang', 'leader', 'is', 'imprisoned', 'and', 'volunteers', 'for', 'a', 'conduct-aversion', 'experiment,', 'but', 'it', ""doesn't"", 'go', 'as', 'planned.']",2026-03-17
The Sting,1973,129,8.3,273190,"['Comedy', ' Crime', ' Drama']",['George Roy Hill'],"['Paul Newman', 'Robert Redford', 'Robert Shaw', 'Charles Durning']","['Two', 'grifters', 'team', 'up', 'to', 'pull', 'off', 'the', 'ultimate', 'con.']",2026-03-17
Chupke Chupke,1975,146,8.3,13005,"['Comedy', ' Drama', ' Romance']",['Hrishikesh Mukherjee'],"['Dharmendra', 'Sharmila Tagore', 'Amitabh Bachchan', 'Jaya Bachchan']","['A', 'newly', 'wedded', 'husband', 'plays', 'a', 'practical', 'joke', 'on', 'his', ""wife's"", 'family', 'with', 'full', 'support', 'from', 'his', 'wife', 'and', 'friends.']",2026-03-17
From the Village to the City,1974,91,8.3,11539,"['Adventure', ' Comedy', ' Crime']",['Ertem Egilmez'],"['Kemal Sunal', 'Meral Zeren', 'Zeki Alasya', 'Metin Akpinar']","['The', 'sequel', 'of', 'The', 'Stupid', 'Millionaire', '(1974),', 'the', 'fun', 'continues', 'this', 'time', 'in', 'Ankara,', 'after', 'the', '4', 'brothers', 'find', 'the', 'heritage', 'from', 'their', 'father', 'which', 'is', 'a', 'box-ful', 'of', 'gold.']",2026-03-17
Taxi Driver,1976,114,8.2,887315,"['Crime', ' Drama']",['Martin Scorsese'],"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd', 'Albert Brooks']","['A', 'mentally', 'unstable', 'veteran', 'works', 'as', 'a', 'nighttime', 'taxi', 'driver', 'in', 'New', 'York', 'City,', 'where', 'the', 'perceived', 'decadence', 'and', 'sleaze', 'fuels', 'his', 'urge', 'for', 'violent', 'action.']",2026-03-17
Chinatown,1974,130,8.2,340511,"['Drama', ' Mystery', ' Thriller']",['Roman Polanski'],"['Jack Nicholson', 'Faye Dunaway', 'John Huston', 'Perry Lopez']","['A', 'private', 'detective', 'hired', 'to', 'expose', 'an', 'adulterer', 'in', '1930s', 'Los', 'Angeles', 'finds', 'himself', 'caught', 'up', 'in', 'a', 'web', 'of', 'deceit,', 'corruption,', 'and', 'murder.']",2026-03-17
Monty Python and the Holy Grail,1975,91,8.2,559051,"['Adventure', ' Comedy', ' Fantasy']","['Terry Gilliam', 'Terry Jones']","['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Gilliam']","['King', 'Arthur', 'and', 'his', 'Knights', 'of', 'the', 'Round', 'Table', 'embark', 'on', 'a', 'surreal,', 'low-budget', 'search', 'for', 'the', 'Holy', 'Grail,', 'encountering', 'many,', 'very', 'silly', 'obstacles.']",2026-03-17
Dersu Uzala,1975,142,8.2,32522,"['Adventure', ' Biography', ' Drama']",['Akira Kurosawa'],"['Maksim Munzuk', 'Yuriy Solomin', 'Mikhail Bychkov', 'Vladimir Khrulyov']","['The', 'Russian', 'army', 'sends', 'an', 'explorer', 'on', 'an', 'expedition', 'to', 'the', 'snowy', 'Siberian', 'wilderness', 'where', 'he', 'makes', 'friends', 'with', 'a', 'seasoned', 'local', 'hunter.']",2026-03-17
Ivan Vasilyevich Changes His Profession,1973,88,8.2,17796,"['Adventure', ' Comedy', ' Sci-Fi']",['Leonid Gaidai'],"['Yuriy Yakovlev', 'Leonid Kuravlyov', 'Aleksandr Demyanenko', 'Saveliy Kramarov']","['An', 'ordinary', 'Soviet', 'building', 'manager,', 'living', 'in', 'the', '20th', 'century,', 'looks', 'like', 'Tsar', 'of', 'All', ""Rus'"", '-', 'Ivan', 'IV', 'the', 'Terrible', '(1530', '-', '1584).', ""He'd"", 'never', 'known', 'this,', 'until', 'his', 'neighbor', 'created', 'a', 'time', 'machine.']",2026-03-17
The Exorcist,1973,122,8.1,434150,['Horror'],['William Friedkin'],"['Ellen Burstyn', 'Max von Sydow', 'Linda Blair', 'Lee J. Cobb']","['When', 'a', 'young', 'girl', 'is', 'possessed', 'by', 'a', 'mysterious', 'entity,', 'her', 'mother', 'seeks', 'the', 'help', 'of', 'two', 'priests', 'to', 'save', 'her', 'daughter.']",2026-03-17
The Deer Hunter,1978,183,8.1,352840,"['Drama', ' War']",['Michael Cimino'],"['Robert De Niro', 'Christopher Walken', 'John Cazale', 'John Savage']","['An', 'in-depth', 'examination', 'of', 'the', 'ways', 'in', 'which', 'the', 'Vietnam', 'War', 'impacts', 'and', 'disrupts', 'the', 'lives', 'of', 'several', 'friends', 'in', 'a', 'small', 'steel', 'mill', 'town', 'in', 'Pennsylvania.']",2026-03-17
Jaws,1975,124,8.1,641151,"['Adventure', ' Mystery', ' Thriller']",['Steven Spielberg'],"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss', 'Lorraine Gary']","['When', 'a', 'killer', 'shark', 'unleashes', 'chaos', 'on', 'a', 'beach', 'community', 'off', 'Cape', 'Cod,', ""it's"", 'up', 'to', 'a', 'local', 'sheriff,', 'a', 'marine', 'biologist,', 'and', 'an', 'old', 'seafarer', 'to', 'hunt', 'the', 'beast', 'down.']",2026-03-17
Rocky,1976,120,8.1,610802,"['Drama', ' Sport']",['John G. Avildsen'],"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']","['A', 'small-time', 'Philadelphia', 'boxer', 'gets', 'a', 'supremely', 'rare', 'chance', 'to', 'fight', 'the', 'world', 'heavyweight', 'champion', 'in', 'a', 'bout', 'in', 'which', 'he', 'strives', 'to', 'go', 'the', 'distance', 'for', 'his', 'self-respect.']",2026-03-17
Barry Lyndon,1975,185,8.1,177385,"['Adventure', ' Drama', ' War']",['Stanley Kubrick'],"[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee', 'Hardy Krüger']","['An', 'Irish', 'rogue', 'wins', 'the', 'heart', 'of', 'a', 'rich', 'widow', 'and', 'assumes', 'her', 'dead', ""husband's"", 'aristocratic', 'position', 'in', '18th-century', 'England.']",2026-03-17
Stalker,1979,162,8.1,140656,"['Drama', ' Sci-Fi']",['Andrei Tarkovsky'],"['Alisa Freyndlikh', 'Aleksandr Kaydanovskiy', 'Anatoliy Solonitsyn', 'Nikolay Grinko']","['A', 'guide', 'leads', 'two', 'men', 'through', 'an', 'area', 'known', 'as', 'the', 'Zone', 'to', 'find', 'a', 'room', 'that', 'grants', 'wishes.']",2026-03-17
Network,1976,121,8.1,165993,['Drama'],['Sidney Lumet'],"['Faye Dunaway', 'William Holden', 'Peter Finch', 'Robert Duvall']","['A', 'television', 'network', 'cynically', 'exploits', 'a', 'deranged', 'former', ""anchor's"", 'ravings', 'and', 'revelations', 'about', 'the', 'news', 'media', 'for', 'its', 'own', 'profit,', 'but', 'finds', 'that', 'his', 'message', 'may', 'be', 'difficult', 'to', 'control.']",2026-03-17
Paper Moon,1973,102,8.1,50841,"['Comedy', ' Crime', ' Drama']",['Peter Bogdanovich'],"[""Ryan O'Neal"", ""Tatum O'Neal"", 'Madeline Kahn', 'John Hillerman']","['During', 'the', 'Great', 'Depression,', 'a', 'con', 'man', 'finds', 'himself', 'saddled', 'with', 'a', 'young', 'girl', 'who', 'may', 'or', 'may', 'not', 'be', 'his', 'daughter,', 'and', 'the', 'two', 'forge', 'an', 'unlikely', 'partnership.']",2026-03-17
A Woman Under the Influence,1974,155,8.1,27586,"['Drama', ' Romance']",['John Cassavetes'],"['Gena Rowlands', 'Peter Falk', 'Fred Draper', 'Lady Rowlands']","['Although', 'wife', 'and', 'mother', 'Mabel', 'is', 'loved', 'by', 'her', 'husband', 'Nick,', 'her', 'mental', 'illness', 'places', 'a', 'strain', 'on', 'the', 'marriage.']",2026-03-17
The Message,1976,177,8.1,49720,"['Biography', ' Drama', ' History']",['Moustapha Akkad'],"['Anthony Quinn', 'Irene Papas', 'Michael Ansara', 'Johnny Sekka']","['This', 'epic', 'historical', 'drama', 'chronicles', 'the', 'life', 'and', 'times', 'of', 'Prophet', 'Muhammad', 'and', 'serves', 'as', 'an', 'introduction', 'to', 'early', 'Islamic', 'history.']",2026-03-17
Sholay,1975,162,8.1,57774,"['Action', ' Adventure', ' Comedy']",['Ramesh Sippy'],"['Sanjeev Kumar', 'Dharmendra', 'Amitabh Bachchan', 'Amjad Khan']","['After', 'his', 'family', 'is', 'murdered', 'by', 'a', 'notorious', 'and', 'ruthless', 'bandit,', 'a', 'former', 'police', 'officer', 'enlists', 'the', 'services', 'of', 'two', 'outlaws', 'to', 'capture', 'the', 'bandit.']",2026-03-17
Autumn Sonata,1978,99,8.1,36669,"['Drama', ' Music']",['Ingmar Bergman'],"['Ingrid Bergman', 'Liv Ullmann', 'Lena Nyman', 'Halvar Björk']","['A', 'devoted', 'wife', 'is', 'visited', 'by', 'her', 'mother,', 'a', 'successful', 'concert', 'pianist', 'who', 'had', 'little', 'time', 'for', 'her', 'when', 'she', 'was', 'young.']",2026-03-17
A Special Day,1977,106,8.1,15262,['Drama'],['Ettore Scola'],"['Sophia Loren', 'Marcello Mastroianni', 'John Vernon', 'Françoise Berd']","['Two', 'neighbors,', 'a', 'persecuted', 'journalist', 'and', 'a', 'resigned', 'housewife,', 'meet', 'during', ""Hitler's"", 'visit', 'to', 'Italy', 'in', 'May', '1938.']",2026-03-17
Anand,1971,122,8.1,34779,"['Drama', ' Musical']",['Hrishikesh Mukherjee'],"['Rajesh Khanna', 'Amitabh Bachchan', 'Sumita Sanyal', 'Ramesh Deo']","['The', 'story', 'of', 'a', 'terminally', 'ill', 'man', 'who', 'wishes', 'to', 'live', 'life', 'to', 'the', 'fullest', 'before', 'the', 'inevitable', 'occurs,', 'as', 'told', 'by', 'his', 'best', 'friend.']",2026-03-17
The Last Picture Show,1971,118,8.0,51062,"['Drama', ' Romance']",['Peter Bogdanovich'],"['Timothy Bottoms', 'Jeff Bridges', 'Cybill Shepherd', 'Ben Johnson']","['In', '1951,', 'a', 'group', 'of', 'high', 'schoolers', 'come', 'of', 'age', 'in', 'a', 'bleak,', 'isolated,', 'atrophied', 'North', 'Texas', 'town', 'that', 'is', 'slowly', 'dying,', 'both', 'culturally', 'and', 'economically.']",2026-03-17
Young Frankenstein,1974,106,8.0,165134,['Comedy'],['Mel Brooks'],"['Gene Wilder', 'Madeline Kahn', 'Marty Feldman', 'Peter Boyle']","['An', 'American', 'grandson', 'of', 'the', 'infamous', 'scientist,', 'struggling', 'to', 'prove', 'that', 'his', 'grandfather', 'was', 'not', 'as', 'insane', 'as', 'people', 'believe,', 'is', 'invited', 'to', 'Transylvania,', 'where', 'he', 'discovers', 'the', 'process', 'that', 'reanimates', 'a', 'dead', 'body.']",2026-03-17
Dog Day Afternoon,1975,125,8.0,267984,"['Biography', ' Crime', ' Drama']",['Sidney Lumet'],"['Al Pacino', 'John Cazale', 'Penelope Allen', 'Sully Boyar']","['Three', 'amateur', 'bank', 'robbers', 'plan', 'to', 'hold', 'up', 'a', 'bank.', 'A', 'nice', 'simple', 'robbery:', 'Walk', 'in,', 'take', 'the', 'money,', 'and', 'run.', 'Unfortunately,', 'the', 'supposedly', 'uncomplicated', 'heist', 'suddenly', 'becomes', 'a', 'bizarre', 'nightmare', 'as', 'everything', 'that', 'could', 'go', 'wrong', 'does.']",2026-03-17
Annie Hall,1977,93,8.0,273094,"['Comedy', ' Romance']",['Woody Allen'],"['Woody Allen', 'Diane Keaton', 'Tony Roberts', 'Carol Kane']","['Alvy', 'Singer,', 'a', 'divorced', 'Jewish', 'comedian,', 'reflects', 'on', 'his', 'relationship', 'with', 'ex-lover', 'Annie', 'Hall,', 'an', 'aspiring', 'nightclub', 'singer,', 'which', 'ended', 'abruptly', 'just', 'like', 'his', 'previous', 'marriages.']",2026-03-17
Life of Brian,1979,94,8.0,414958,['Comedy'],['Terry Jones'],"['Graham Chapman', 'John Cleese', 'Michael Palin', 'Terry Gilliam']","['Born', 'on', 'the', 'original', 'Christmas', 'in', 'the', 'stable', 'next', 'door', 'to', 'Jesus', 'Christ,', 'Brian', 'of', 'Nazareth', 'spends', 'his', 'life', 'being', 'mistaken', 'for', 'a', 'messiah.']",2026-03-17
Papillon,1973,151,8.0,135865,"['Biography', ' Crime', ' Drama']",['Franklin J. Schaffner'],"['Steve McQueen', 'Dustin Hoffman', 'Victor Jory', 'Don Gordon']","['A', 'French', 'convict', 'in', 'the', '1930s', 'befriends', 'a', 'fellow', 'criminal', 'as', 'the', 'two', 'of', 'them', 'begin', 'serving', 'their', 'sentence', 'in', 'the', 'South', 'American', 'penal', 'colony', 'on', ""Devil's"", 'Island,', 'which', 'inspires', 'the', 'man', 'to', 'plot', 'his', 'escape.']",2026-03-17
Solaris,1972,167,8.0,95892,"['Drama', ' Mystery', ' Sci-Fi']",['Andrei Tarkovsky'],"['Natalya Bondarchuk', 'Donatas Banionis', 'Jüri Järvet', 'Vladislav Dvorzhetskiy']","['A', 'psychologist', 'is', 'sent', 'to', 'a', 'station', 'orbiting', 'a', 'distant', 'planet', 'in', 'order', 'to', 'discover', 'what', 'has', 'caused', 'the', 'crew', 'to', 'go', 'insane.']",2026-03-17
Fiddler on the Roof,1971,181,8.0,46195,"['Drama', ' Family', ' Musical']",['Norman Jewison'],"['Topol', 'Norma Crane', 'Leonard Frey', 'Molly Picon']","['In', 'pre-revolutionary', 'Russia,', 'a', 'Jewish', 'peasant', 'with', 'traditional', 'values', 'contends', 'with', 'marrying', 'off', 'three', 'of', 'his', 'daughters', 'with', 'modern', 'romantic', 'ideals', 'while', 'growing', 'anti-Semitic', 'sentiment', 'threatens', 'his', 'village.']",2026-03-17
Mirror,1975,107,8.0,50345,"['Biography', ' Drama']",['Andrei Tarkovsky'],"['Margarita Terekhova', 'Filipp Yankovskiy', 'Ignat Daniltsev', 'Oleg Yankovskiy']","['A', 'dying', 'man', 'in', 'his', 'forties', 'remembers', 'his', 'past.', 'His', 'childhood,', 'his', 'mother,', 'the', 'war,', 'personal', 'moments', 'and', 'things', 'that', 'tell', 'of', 'the', 'recent', 'history', 'of', 'all', 'the', 'Russian', 'nation.']",2026-03-17
Sleuth,1972,138,8.0,49325,"['Mystery', ' Thriller']",['Joseph L. Mankiewicz'],"['Laurence Olivier', 'Michael Caine', 'Alec Cawthorne', 'John Matthews']","['A', 'man', 'who', 'loves', 'games', 'and', 'theater', 'invites', 'his', ""wife's"", 'lover', 'to', 'meet', 'him,', 'setting', 'up', 'a', 'battle', 'of', 'wits', 'with', 'potentially', 'deadly', 'results.']",2026-03-17
Cries & Whispers,1972,91,8.0,36062,['Drama'],['Ingmar Bergman'],"['Harriet Andersson', 'Liv Ullmann', 'Kari Sylwan', 'Ingrid Thulin']","['When', 'a', 'woman', 'dying', 'of', 'cancer', 'in', 'early', 'twentieth-century', 'Sweden', 'is', 'visited', 'by', 'her', 'two', 'sisters,', 'long-repressed', 'feelings', 'between', 'the', 'siblings', 'rise', 'to', 'the', 'surface.']",2026-03-17
Day for Night,1973,116,8.0,24230,"['Comedy', ' Drama', ' Romance']",['François Truffaut'],"['Jacqueline Bisset', 'Jean-Pierre Léaud', 'François Truffaut', 'Valentina Cortese']","['A', 'committed', 'film', 'director', 'struggles', 'to', 'complete', 'his', 'movie', 'while', 'coping', 'with', 'a', 'myriad', 'of', 'crises,', 'personal', 'and', 'professional,', 'among', 'the', 'cast', 'and', 'crew.']",2026-03-17
Ali: Fear Eats the Soul,1974,92,8.0,23105,"['Drama', ' Romance']",['Rainer Werner Fassbinder'],"['Brigitte Mira', 'El Hedi ben Salem', 'Barbara Valentin', 'Irm Hermann']","['A', 'lonely', 'widow', 'meets', 'a', 'much', 'younger', 'Moroccan', 'worker', 'in', 'a', 'bar', 'during', 'a', 'rainstorm.', 'They', 'fall', 'in', 'love,', 'to', 'their', 'own', 'surprise', 'and', 'to', 'the', 'outright', 'shock', 'of', 'their', 'families,', 'colleagues,', 'and', 'drinking', 'buddies.']",2026-03-17
Investigation of a Citizen Above Suspicion,1970,115,8.0,12743,"['Crime', ' Drama']",['Elio Petri'],"['Gian Maria Volontè', 'Florinda Bolkan', 'Gianni Santuccio', 'Orazio Orlando']","['A', 'chief', 'of', 'detectives,', 'homicide', 'section,', 'kills', 'his', 'mistress', 'and', 'deliberately', 'leaves', 'clues', 'to', 'prove', 'his', 'own', 'responsibility', 'for', 'the', 'crime.']",2026-03-17
