Movie Name,Year of Release,Run Time in minutes,Movie Rating,Votes,Genre,Director,Stars,Description,data_extracao
Intolerance,1916,163,7.7,16385,"['Drama', ' History']",['D.W. Griffith'],"['Lillian Gish', 'Robert Harron', 'Mae Marsh', 'F.A. Turner']","['The', 'story', 'of', 'a', 'poor', 'young', 'woman', 'separated', 'by', 'prejudice', 'from', 'her', 'husband', 'and', 'baby', 'is', 'interwoven', 'with', 'tales', 'of', 'intolerance', 'from', 'throughout', 'history.']",2026-03-17
Broken Blossoms or the Yellow Man and the Girl,1919,90,7.2,10854,"['Drama', ' Romance']",['D.W. Griffith'],"['Lillian Gish', 'Richard Barthelmess', 'Donald Crisp', 'Arthur Howard']","['A', 'frail', 'waif,', 'abused', 'by', 'her', 'brutal', 'boxer', 'father', 'in', ""London's"", 'seedy', 'Limehouse', 'District,', 'is', 'befriended', 'by', 'a', 'sensitive', 'Chinese', 'immigrant', 'with', 'tragic', 'consequences.']",2026-03-17
The Birth of a Nation,1915,195,6.2,25824,"['Drama', ' History', ' War']",['D.W. Griffith'],"['Lillian Gish', 'Mae Marsh', 'Henry B. Walthall', 'Miriam Cooper']","['The', 'Stoneman', 'family', 'finds', 'its', 'friendship', 'with', 'the', 'Camerons', 'affected', 'by', 'the', 'Civil', 'War,', 'both', 'fighting', 'in', 'opposite', 'armies.', 'The', 'development', 'of', 'the', 'war', 'in', 'their', 'lives', 'plays', 'through', 'to', ""Lincoln's"", 'assassination', 'and', 'the', 'birth', 'of', 'the', 'Ku', 'Klux', 'Klan.']",2026-03-17
